"Subject","Start Date","Start Time","End Date","End Time","Location","Description","Organizer","All Day","Importance","Busy Status","Sensitivity","Is Recurring","Recurrence Pattern","Reminder (minutes)"
"Postal Museum & London Zoo","2019-08-19","All Day","2019-08-20","All Day","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","Yes","normal","free","normal","No","",""
"19:30 Train to York","2019-08-19","18:00:00","2019-08-19","20:30:00","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Claire here ","2019-08-20","All Day","2019-08-25","All Day","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","Yes","normal","free","normal","No","",""
"Check ESTAS","2019-08-20","06:00:00","2019-08-20","07:00:00","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Kevin Viney for Lunch","2019-08-20","10:00:00","2019-08-20","14:00:00","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Lunch with Claire & Tracy","2019-08-21","11:00:00","2019-08-21","13:00:00","TBA","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"10:00 Spanish Summer Meeting","2019-08-22","08:00:00","2019-08-22","11:30:00","Kings Manor","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"09:30 Jazz  to garage for MOT","2019-08-23","08:00:00","2019-08-23","08:15:00","Layerthorpe","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Duty Week","2019-08-25","All Day","2019-09-02","All Day","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","Yes","normal","free","normal","No","",""
"WR - BBQ","2019-08-25","11:00:00","2019-08-25","14:00:00","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"BANK HOLIDAY","2019-08-26","All Day","2019-08-27","All Day","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","Yes","normal","free","normal","No","",""
"Land of Nod","2019-08-27","17:00:00","2019-08-27","21:00:00","Leeds","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Check on Lloyds Monthly Savers - reset etc","2019-08-29","All Day","2019-08-30","All Day","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","Yes","normal","free","normal","No","",""
"WR - 80's Night","2019-08-31","16:00:00","2019-08-31","20:00:00","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"19:30 Land of Nod in York","2019-09-01","18:00:00","2019-09-01","21:30:00","John Cooper Studio 41, Monkgate","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"13:00  Tom to Gemma","2019-09-02","11:00:00","2019-09-02","13:00:00","Cube","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Lloyds Club Monthly Savers expire - start new ones","2019-09-03","All Day","2019-09-04","All Day","","false
false
false

EN-GB
X-NONE
X-NONE


















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;
	mso-para-margin:0cm;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:""Times New Roman"";
	mso-fareast-language:EN-US;}","","Yes","normal","free","normal","No","",""
"09:00 49 Sutherland Street re Roof","2019-09-03","08:00:00","2019-09-03","09:00:00","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Lloyds savers mature - move funds and refresh","2019-09-03","09:00:00","2019-09-03","10:00:00","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Wayne to Service boiler","2019-09-03","10:00:00","2019-09-03","12:00:00","mid to late morning","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Take Down Awning","2019-09-03","13:00:00","2019-09-03","16:00:00","WR","false
false
false

EN-GB
X-NONE
AR-SA

















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"09:20 Tom to Dentist","2019-09-04","08:00:00","2019-09-04","09:00:00","Woodthorpe","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"14:00 - 15:00 HMRC Making Tax Digital Webinar","2019-09-04","12:30:00","2019-09-04","14:30:00","See email on 01/08/19","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Kids B4 School","2019-09-05","06:30:00","2019-09-05","08:00:00","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","Yes","RRULE;FREQ=WEEKLY;BYDAY=TH,FR;COUNT=4",""
"09:45 Harrogate ENT","2019-09-05","08:00:00","2019-09-05","11:00:00","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","high","busy","normal","No","",""
"Kids after school","2019-09-05","14:00:00","2019-09-05","17:00:00","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","Yes","RRULE;FREQ=WEEKLY;BYDAY=TH,FR;COUNT=4",""
"Sat 7th - Ailie & Michael's Wedding","2019-09-06","All Day","2019-09-10","All Day","Dundee / Invercarse","Hotel Booked 7/9/18
Executive Room B&B
3 nights
","","Yes","normal","busy","normal","No","",""
"11:54 Train to Dundee","2019-09-06","11:00:00","2019-09-06","15:00:00","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"HTB","2019-09-07","17:00:00","2019-09-07","21:00:00","Harrogate Baths","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","Yes","RRULE;FREQ=MONTHLY;BYDAY=1SA;COUNT=8",""
"16:07 Train to York","2019-09-09","15:00:00","2019-09-09","19:00:00","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
"Have GRJ documents arrived?","2019-09-10","07:00:00","2019-09-10","08:00:00","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","No","normal","busy","normal","No","",""
